short_name,name,duns_number
XMIDSO,MID SOUTH ELECTRIC COOPERATIVE ASSOCIATION (CRRAH),0612785945000
XMIDAE,MIDAMERICAN ENERGY SERVICES LLC (CRRAH),0797495705000
XMIDWE,MIDWEST ENERGY TRADING EAST LLC (CRRAH),9616314185000
XMISGA,MISGAUGE LLC (CRRAH),1184090355000
XMITSU,MITSUI AND CO ENERGY MARKETING AND SERVICES (USA) INC (CRRAH),9682166015000
XMNTE,MONTEREY LP (CRRAH),1191945155000
XMNTE1,MONTEREY LP 1 (CRRAH),1191945155100
XMNTE2,MONTEREY LP 2 (CRRAH),1191945155200
XMORG,MORGAN STANLEY CAPITAL GROUP INC (CRRAH),0069878795000
XMORGB,MORGAN STANLEY CAPITAL GROUP INC B (CRRAH),0069878795100
XMORGC,MORGAN STANLEY CAPITAL GROUP INC C (CRRAH),0069878795200
XMOUNT,MOUNT AUBURN STREET TRADING LP (CRRAH),1180859965000
XMOUN1,MOUNT AUBURN STREET TRADING LP 1 (CRRAH),1180859965100
XMOUN2,MOUNT AUBURN STREET TRADING LP 2 (CRRAH),1180859965200
XMP2TX,MP2 ENERGY TEXAS LLC DBA SHELL ENERGY SOLUTIONS (CRRAH),8281436315000
XMUDD,MUDD ENERGY LLC (CRRAH),0804035325000
XNBRUT,NEW BRAUNFELS UTILITIES (CRRAH),0383461695000
XNEWM,NEW MEXICO ELECTRIC MARKETING LLC (CRRAH),0045121125000
XNEWM2,NEW MEXICO ELECTRIC MARKETING LLC 2 (CRRAH),0045121125100
XNEWM3,NEW MEXICO ELECTRIC MARKETING LLC 3 (CRRAH),0045121125200
XFPLE,NEXTERA ENERGY MARKETING LLC (CRRAH),0544813415000
XNEXTA,NEXTERA ENERGY MARKETING LLC A (CRRAH),0544813415100
XNEXTL,NEXTERA ENERGY MARKETING LLC L (CRRAH),0544813415200
XNEXUS,NEXUS ENERGY LLC (CRRAH),1192777075000
XNEXU1,NEXUS ENERGY LLC 1 (CRRAH),1192777075100
XNEXU2,NEXUS ENERGY LLC 2 (CRRAH),1192777075200
XNN8LL,NN8 LLC (CRRAH),0806377555000
XNN8L1,NN8 LLC 1 (CRRAH),0806377555100
XNN8L2,NN8 LLC 2 (CRRAH),0806377555200
XNORT,NORTHERN STATES POWER COMPANY (CRRAH),0069624195000
XNOSH,NORTHSHORE TRADING LLC (CRRAH),1194313705000
XNOSH1,NORTHSHORE TRADING LLC 1 (CRRAH),1194313705100
XNOSH2,NORTHSHORE TRADING LLC 2 (CRRAH),1194313705200
XNOVAT,NOVATUS ENERGY MANAGEMENT LLC (CRRAH),1171533215000
XNPME1,NPM ENERGY LLC 1 (CRRAH),9695996415000
XNPME2,NPM ENERGY LLC 2 (CRRAH),9695996415100
XNPME3,NPM ENERGY LLC 3 (CRRAH),9695996415200
XNRGP,NRG BUSINESS MARKETING LLC (CRRAH),0282559795000
XNRGP2,NRG BUSINESS MARKETING LLC 2 (CRRAH),0282559795100
XNRGP3,NRG BUSINESS MARKETING LLC 3 (CRRAH),0282559795200
XNRGTX,NRG TEXAS POWER LLC (CRRAH),1684560495000
XNRGGM,NRG TEXAS POWER LLC (GME) (CRRAH),1684560495200
XNRGLD,NRG TEXAS POWER LLC (LOAD) (CRRAH),1684560495100
XOSTX,OMEGA STRATEGIES TEXAS I LLC (CRRAH),1193668235000
XOSTX1,OMEGA STRATEGIES TEXAS I LLC 1 (CRRAH),1193668235100
XOSTX2,OMEGA STRATEGIES TEXAS I LLC 2 (CRRAH),1193668235200
XOMEGA,OMEGA US HOLDING II LLC (CRRAH),1188976865000
XONEV,ONE VENTURES TX LLC (CRRAH),1174227375000
XORSTE,ORSTED US TRADING LLC (CRRAH),1170713895000
XPACIF,PACIFIC SUMMIT ENERGY LLC (CRRAH),1627682415000
XPACF1,PACIFIC SUMMIT ENERGY LLC 1 (CRRAH),1627682415100
XPAINT,PAINTED POWER LLC (CRRAH),1194311065000
XPAIN1,PAINTED POWER LLC 1 (CRRAH),1194311065100
XPAIN2,PAINTED POWER LLC 2 (CRRAH),1194311065200
XPARTE,PARTITION ENERGY LLC (CRRAH),1193107155000
XPATTE,PATTERN ENERGY MANAGEMENT SERVICES LLC (CRRAH),0812397105000
XPATT1,PATTERN ENERGY MANAGEMENT SERVICES LLC 1 (CRRAH),0812397105100
XPCSTR,PCS TRADING LLC (CRRAH),1171081435000
XPEAKE,PEAK ENERGY CAPITAL LP (CRRAH),0805062705000
XPEAK1,PEAK ENERGY CAPITAL LP 1 (CRRAH),0805062705100
XPEAK2,PEAK ENERGY CAPITAL LP 2 (CRRAH),0805062705200
XPEATR,PEAK ENERGY TRADING LLC (CRRAH),1193045625000
XPEAT1,PEAK ENERGY TRADING LLC 1 (CRRAH),1193045625100
XPEAT2,PEAK ENERGY TRADING LLC 2 (CRRAH),1193045625200
XPEARL,PEARL STREET MERCHANT ENERGY LLC (CRRAH),0813507075000
XPEAR1,PEARL STREET MERCHANT ENERGY LLC 1 (CRRAH),0813507075100
XDEN,PENINSULA POWER LLC (CRRAH),0784812475000
XDEN2,PENINSULA POWER LLC 2 (CRRAH),0784812475100
XDEN3,PENINSULA POWER LLC 3 (CRRAH),0784812475200
XPENLO,PENINSULA POWER LONESTAR LLC (CRRAH),1153384175000
XPENL1,PENINSULA POWER LONESTAR LLC 1 (CRRAH),1153384175100
XPENL2,PENINSULA POWER LONESTAR LLC 2 (CRRAH),1153384175200
XPENTX,PENINSULA POWER TX LLC (CRRAH),1153167165000
XPENT1,PENINSULA POWER TX LLC 1 (CRRAH),1153167165100
XPENT2,PENINSULA POWER TX LLC 2 (CRRAH),1153167165200
XPERAS,PERAST TEXAS LLC (CRRAH),1187133285000
XPERA1,PERAST TEXAS LLC 1 (CRRAH),1187133285100
XPERA2,PERAST TEXAS LLC 2 (CRRAH),1187133285200
XPERID,PERIDOT POWER LLC (CRRAH),1187031185000
